INCHI,SMILES,IC50,pIC50
LTZADKANMDZUFP-XODNFHPESA-N,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/N1CCOCC1,7,8.15490196
BGGNHDDNOKPDMN-UHFFFAOYSA-N,COc1ccc(C2CC(c3ccc(Cl)cc3)=NN2C2=NC(=O)CS2)cc1,10340,4.985479461
CVXCGOOTIVLTGK-UHFFFAOYSA-N,COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(F)cc3)C2)cc1,8040,5.094743951
LQTGHMBQDOQFCW-XCVCLJGOSA-N,Fc1ccc(NCc2coc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,2170,5.663540266
RFLDKDRBFRIRBR-RMKNXTFCSA-N,Fc1cccc(NCc2coc(/C=C/c3ccc(C(F)(F)F)cc3)n2)c1,8630,5.063989204
DMSGOCXLZYJECI-UHFFFAOYSA-N,Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(Br)cc3)C2)cc1,1070,5.970616222
LYIUENVBACZSCL-TYOLEZHBSA-N,Cc1cc(Nc2ncnc3ccc(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1cc2nncn2cn1,1.4,8.853871964
HYMYAHJTTZILBA-UHFFFAOYSA-N,CC(C)(C)NC(=O)c1cccc(Oc2ccc(Nc3ncnc4ccn(CCO)c34)cc2Cl)c1,2.3,8.638272164
ZZRGSHVUZJRFKX-UHFFFAOYSA-N,NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)CC1,32,7.494850022
VTBGXVHIEWGJBV-UHFFFAOYSA-N,NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cccnc5)c(Cl)c4)c23)CC1,36,7.443697499
YUEWCBSNZWDONI-UHFFFAOYSA-N,CCC(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)cc3)ncnc2cc1OC,404,6.393618635
PEGQWGLLBPWDAS-UHFFFAOYSA-N,FC(F)(F)Oc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,41,7.387216143
RCKIDWKUGKLLRU-UHFFFAOYSA-N,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)Nc5c(F)cccc5F)CC4)c(C)c3)c2c1,76,7.119186408
AEBKFOMFJMJUFH-VPGRUKGMSA-N,CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN1[C@H](C)CCC[C@@H]1C,128,6.89279003
RDZCSFHYEHBJON-VMPITWQZSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccco4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,62,7.207608311
RMPVKBBFQRDYJT-UHFFFAOYSA-N,CS(=O)(=O)CCOCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,17,7.769551079
NTCYROXBTZYTDM-UHFFFAOYSA-N,Cc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(F)cc3)C2)cc1,3530,5.452225295
JJHXVSSJRMTBMC-UHFFFAOYSA-N,O=C(C#CCCN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,0.8,9.096910013
LJQVSABKPVFCTG-UHFFFAOYSA-N,Fc1cccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2Cl)c1,20,7.698970004
VNSGZPKJDBAOQI-UHFFFAOYSA-N,CC(=O)NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)CC1,180,6.744727495
BWUDFDISHJZZSP-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c23)c1,95,7.022276395
ZZOFSNIYKIWAIB-UHFFFAOYSA-N,CCCS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,26,7.585026652
RWZFERBECCSPBU-UHFFFAOYSA-N,COc1ccc(C2CC(c3ccc(F)cc3)=NN2C2=NC(=O)CS2)cc1,12430,4.905528871
